사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2018-04,2호선,0237,당산,7,0,7392,3936,19293,15098,56400,35826,71589,94586,47561,46911,33336,25963,30533,25631,30430,27245,30276,30391,26731,29255,28067,32488,33238,38106,47743,48510,73956,75780,42076,64742,26812,43107,26793,42276,21662,41191,11275,27841,1896,8196,6,246,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0238,합정,92,2,10210,4165,20962,20862,52748,39681,64171,105392,43406,81125,33314,51436,34111,45314,38889,50507,43480,58262,42874,54168,47629,55690,53844,62061,69679,76258,116156,115756,80363,101323,63633,54980,73452,43111,75546,37836,41454,27326,6826,9531,1,333,0,1,0,0,2018-05-03 13:30:17
2018-04,2호선,0239,홍대입구,1799,10,41721,4882,42223,21455,79423,44879,101301,128962,79032,149877,71892,108123,74678,111096,84119,136938,95944,160935,103754,159246,121797,157323,143352,174245,177127,205422,215062,273636,177013,237015,170745,141113,210633,111371,233663,93779,135642,69942,17282,24079,9,2753,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0240,신촌,158,8,12577,4023,18327,18805,43190,46768,62479,107974,47284,131381,45794,94167,53701,83346,68857,87605,79868,95954,79064,85958,90101,80067,102388,84095,125600,106248,132603,149739,102485,124712,104127,67905,115213,55003,130645,48843,68126,35923,11433,11894,7,175,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0241,이대,15,0,3658,1530,7849,10568,20386,24627,28085,54719,21574,79877,18422,64680,24389,47131,38140,54251,43436,52850,40499,41470,51436,40040,61335,39360,73067,41640,67230,47746,46465,37487,38978,22868,45831,20190,34346,20646,12910,15408,1463,4990,2,56,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0242,아현,41,1,5003,769,11951,4960,29398,15648,39882,26241,25204,15685,18200,14601,16876,11025,18243,12962,17929,14193,15965,14446,16661,15719,22865,18195,21173,22347,23433,31229,15766,28486,10688,19513,9311,19048,7651,19266,3636,13126,595,4597,0,47,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0243,충정로(경기대입구),32,1,4018,1183,8923,7451,20365,24874,27989,75245,18317,40179,14525,16008,15474,14206,16292,13305,16489,16283,16400,15464,17476,15001,20735,16239,25289,18961,62665,25488,24318,21414,14631,14605,13646,14411,10773,14049,4554,9758,825,3338,0,75,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0244,용답,19,0,2377,214,3770,1171,9694,1733,14700,4443,6960,5775,4735,3943,4196,2827,4383,3044,4581,3656,4222,3502,3952,4357,5433,6153,5252,6512,4240,10523,2929,8323,2048,5286,1642,6361,1204,6173,577,4012,102,1294,0,1,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0245,신답,9,0,1032,153,1679,1669,5845,1195,9229,2108,3202,1173,2438,1293,1955,1405,2169,1555,2118,1710,1828,1991,1844,2511,2278,3221,2698,3349,2195,6983,1425,6616,756,3324,618,3538,548,2881,180,2199,38,570,0,3,0,0,0,0,2018-05-03 13:30:17
2018-04,2호선,0246,신설동,25,1,1171,457,1395,2336,3420,6850,5760,18384,5112,13188,5550,9528,6912,9418,8079,8749,9225,9237,10402,8523,11340,7606,11549,6507,14661,6884,19942,6851,8614,5369,4992,3607,4171,3379,3171,3468,1214,2673,151,733,0,132,0,0,0,0,2018-05-03 13:30:17
